Week,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
12/16/19,Enabled, +cuenta +digital banco santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0
12/23/19,Enabled, +cuenta +digital banco santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Low search volume,Approved,,,1,0,0,0,0,0,0,0
12/30/19,Enabled, +cuenta +digital banco santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Low search volume,Approved,,,9,0.2222,2.79,2,0,0,1.4,0
1/6/20,Enabled, +cuenta +digital banco santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Low search volume,Approved,,,11,0.0909,3.3,1,0,0,3.3,0
11/11/19,Enabled, +cuenta superdigital +santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled, +cuenta superdigital +santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,9,0.4444,8.24,4,2,8,2.06,1.03
11/11/19,Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/25/19,Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
12/2/19,Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
12/16/19,Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,10,0.1,3.4,1,0,0,3.4,0
12/23/19,Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,14,0,0,0,0,0,0,0
1/6/20,Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,22,0.3182,9.44,7,0.2857,2,1.35,4.72
1/13/20,Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,21,0.1429,7.72,3,2,6,2.57,1.29
10/28/19,Enabled,[cuenta joven banco santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/11/19,Enabled,[cuenta joven banco santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/25/19,Enabled,[cuenta joven banco santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
1/6/20,Enabled,[cuenta joven banco santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0
1/13/20,Enabled,[cuenta joven banco santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0
11/11/19,Enabled, +cuenta +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/25/19,Enabled, +cuenta +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,692,0.065,1120.27,45,0.1111,5,24.89,224.05
12/2/19,Enabled, +cuenta +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,3705,0.0777,4471.7,288,0.0694,20,15.53,223.59
12/16/19,Enabled, +cuenta +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,649,0.0801,532.7,52,0.1154,6,10.24,88.78
1/13/20,Enabled, +cuenta +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,673,0.0832,157.74,56,0.2143,12,2.82,13.15
10/28/19,Enabled, +cuenta +bancaria +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,26,0.2308,49.43,6,0,0,8.24,0
11/25/19,Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,40,0.1,184.68,4,0,0,46.17,0
12/9/19,Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,116,0.0517,222.87,6,0,0,37.15,0
12/23/19,Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,41,0.122,30.14,5,0,0,6.03,0
12/30/19,Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,31,0.1935,19.12,6,0.3333,2,3.19,9.56
