Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.,Data Range
Enabled,[como obtener cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,12,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta joven],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta joven santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,2,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta superdigital santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,6,0.5,6.01,3,0,0,2,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,51,0.0784,16.03,4,0,0,4.01,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +joven banco santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,3,0.6667,4.23,2,0,0,2.12,0,"January 12, 2020 - January 18, 2020"
Enabled, +primera +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,7,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[como tener cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,11,0.0909,3.85,1,0,0,3.85,0,"January 12, 2020 - January 18, 2020"
Enabled,[como sacar cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,48,0.0417,3.43,2,0,0,1.72,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,4,0.25,2.44,1,0,0,2.44,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta bancaria +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,5,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta digital santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,146,0.5411,145.64,79,0.6203,49,1.84,2.97,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +juvenil santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,70,0.1,25.43,7,0,0,3.63,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta bancaria para jovenes],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,14,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta juvenil santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,super cuenta digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,378,0.4444,204.92,168,0.4524,76,1.22,2.7,"January 12, 2020 - January 18, 2020"
Enabled,cuenta digital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,16,0.25,2.08,4,1.25,5,0.52,0.42,"January 12, 2020 - January 18, 2020"
