Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.,Data Range
Enabled,cuentadigital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,23,0.3913,15.51,9,0.6667,6,1.72,2.59,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,122,0.0902,32.4,11,0.0909,1,2.95,32.4,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +joven,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,19,0.2632,19.24,5,0,0,3.85,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,1085,0.2654,419.54,288,0.1424,41,1.46,10.23,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta joven banco santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta bancaria joven],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,196,0.3469,90.18,68,0.75,51,1.33,1.77,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta superdigital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,804,0.0821,180.68,66,0.1818,12,2.74,15.06,"January 12, 2020 - January 18, 2020"
Enabled,super cuenta digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,350,0.4429,149.32,155,0.5484,85,0.96,1.76,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +bancaria +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,26,0.1923,10.51,5,0,0,2.1,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta +digital banco santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Low search volume,Approved,,,24,0.2083,5.63,5,0,0,1.13,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta superdigital +santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,10,0.3,1.53,3,0.6667,2,0.51,0.77,"January 12, 2020 - January 18, 2020"
Enabled,cuenta santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,65628,0.1943,32217.83,12752,0.0347,442,2.53,72.89,"January 12, 2020 - January 18, 2020"
Enabled, +como +tener +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,31,0.0968,7.88,3,0,0,2.63,0,"January 12, 2020 - January 18, 2020"
Enabled,[primera cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled,cuenta super digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,348,0.4253,151.88,148,0.3919,58,1.03,2.62,"January 12, 2020 - January 18, 2020"
Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,22,0.1364,7.72,3,2,6,2.57,1.29,"January 12, 2020 - January 18, 2020"
Enabled,[cuenta bancaria superdigital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 12, 2020 - January 18, 2020"
Enabled, +cuenta bancaria joven,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,102,0.0882,35.29,9,0,0,3.92,0,"January 12, 2020 - January 18, 2020"
Enabled, +como +obtener +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,23,0.087,5.64,2,0,0,2.82,0,"January 12, 2020 - January 18, 2020"
